2021-10-21 18:10:58.113 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #5/11
2021-10-21 18:10:59.530 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #6/11
2021-10-21 18:11:01.074 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #7/11
2021-10-21 18:11:02.459 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #8/11
2021-10-21 18:11:03.701 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #9/11
2021-10-21 18:11:04.924 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #10/11
2021-10-21 18:11:06.144 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #11/11
2021-10-21 18:11:07.415 | INFO     | __main__:main:349 - Decoding repetition_long_143 GT
2021-10-21 18:11:07.452 | INFO     | __main__:main:352 - Decoding repetition_long_143 binary
2021-10-21 18:11:07.531 | INFO     | __main__:main:336 - Generating repetition_long_275 code LUT, decoding func
2021-10-21 18:11:07.538 | INFO     | __main__:get_binary_gt_sequence:180 - All White
2021-10-21 18:11:07.543 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #1/11
2021-10-21 18:11:10.818 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #2/11
2021-10-21 18:11:12.567 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #3/11
2021-10-21 18:11:14.273 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #4/11
2021-10-21 18:11:15.982 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #5/11
2021-10-21 18:11:17.868 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #6/11
2021-10-21 18:11:19.593 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #7/11
2021-10-21 18:11:21.435 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #8/11
2021-10-21 18:11:23.270 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #9/11
2021-10-21 18:11:25.126 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #10/11
2021-10-21 18:11:26.957 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #11/11
2021-10-21 18:11:28.747 | INFO     | __main__:main:349 - Decoding repetition_long_275 GT
2021-10-21 18:11:28.802 | INFO     | __main__:main:352 - Decoding repetition_long_275 binary
2021-10-21 18:11:28.899 | INFO     | __main__:main:336 - Generating hybrid_63 code LUT, decoding func
2021-10-21 18:11:28.907 | INFO     | __main__:get_binary_gt_sequence:180 - All White
2021-10-21 18:11:28.922 | INFO     | __main__:get_binary_gt_sequence:189 - Sequence #1/77
